accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2017-03-23,23:16:16,S1,ปกติ,0,0,0,0,ยางแตก
2017-03-25,01:08:08,ศรีรัช,ปกติ,0,0,0,0,ก้มหยิบโทรศัพย์
2017-06-27,07:03:03,ศรีรัช,ปกติ,0,0,0,0,รถไม่่มี Easy Pass
2016-11-23,01:09:09,ศรีรัช,ปกติ,0,0,0,0,ขับชิดขอบเกินไป
2017-06-28,14:56:56,ศรีรัช,ปกติ,0,0,0,0,ไม่มีeasy pass
2017-02-25,01:54:54,ศรีรัช,ปกติ,0,1,0,0,ไม่ชินเส้นทาง
2017-03-20,11:48:48,ศรีรัช,ปกติ,0,0,0,0,ขับชิดขวามากเกินไป
2017-09-01,09:45:45,ศรีรัช,ปกติ,0,0,0,0,ขับชิดขอบตู้มากเกิน
2017-09-04,11:05:05,ศรีรัช,ปกติ,0,0,0,0,เข้าช่องetc
2016-12-18,12:23:23,ศรีรัช,ปกติ,0,0,0,0,ขับชิดมากเกินไป
2017-03-27,10:48:48,ศรีรัช,ปกติ,0,0,0,0,-
2017-02-03,16:12:12,ศรีรัช,ปกติ,0,0,0,0,ชนป้ายวัดความสูง
2017-06-02,23:47:47,ศรีรัช,ปกติ,0,0,0,0,เข้าช่องทางผิดเเล้วถอยรถออก
2016-10-31,19:20:20,ฉลองรัช,ปกติ,0,0,0,0,บรรทุกหนัก
2016-12-28,15:06:06,ฉลองรัช,ปกติ,0,0,0,0,บรรทุกหนัก
2017-08-29,21:50:50,ฉลองรัช,ปกติ,1,0,0,0,ก้มเก็บของ
2017-09-04,13:28:28,ฉลองรัช,ปกติ,4,1,0,0,ก้มเก็บของ
2017-05-06,17:10:10,ฉลองรัช,ปกติ,0,0,0,0,ก้มรับโทรศัพท์
2016-12-12,19:50:50,ฉลองรัช,ปกติ,0,0,0,0,ยางเเตก
2016-11-19,00:45:45,ฉลองรัช,ปกติ,0,0,0,0,โรคประจำตัว
2017-04-25,05:20:20,ฉลองรัช,ปกติ,1,0,0,0,เชี่ยวชน
2017-08-09,19:10:10,ฉลองรัช,ปกติ,0,0,0,0,.
2017-02-24,20:51:51,ฉลองรัช,ปกติ,0,1,0,0,รถจอดเลนกลางโดนชนท้าย
2017-01-28,20:56:56,ฉลองรัช,ปกติ,0,0,0,0,ขับรถปาดกันไป มา
2017-09-24,06:52:52,ฉลองรัช,ปกติ,0,1,0,0,-
2017-08-08,20:26:26,ฉลองรัช,ปกติ,0,0,0,0,.
2017-06-23,08:20:20,ฉลองรัช,ปกติ,0,1,0,0,มีรถปาดหน้า
2017-06-24,17:37:37,ฉลองรัช,ปกติ,1,0,0,0,มึนเมา
2017-03-11,00:34:34,ฉลองรัช,ปกติ,1,2,0,0,วิ่งย้อนทางลงสุขุมวิท50ขึ้นมา
2017-05-30,16:46:46,ฉลองรัช,ปกติ,0,0,0,0,เบรคกะทันหัน
2017-04-18,10:30:30,ฉลองรัช,ปกติ,0,0,0,0,โดนปาดหน้า
2017-07-21,21:30:30,ฉลองรัช,ปกติ,1,0,0,0,ย้อนทางลงขึ้นมา
2017-02-27,22:59:59,ฉลองรัช,ปกติ,0,1,0,0,ขับรถเร็ว
2017-06-01,12:04:04,บูรพาวิถี,ปกติ,0,0,0,0,ผู้ขับขี่ขับรถประมาณ
2016-10-24,19:40:40,บูรพาวิถี,ปกติ,0,0,0,0,มึนเมา
2016-11-09,12:38:38,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถช้าลง
2017-01-21,03:29:29,บูรพาวิถี,ปกติ,0,0,0,0,เข้าช่องเก็บเงินผิด
2017-06-21,22:01:01,อุดรรัถยา,ปกติ,0,0,0,0,เบรกกะทันหัน
2017-03-07,16:11:11,เฉลิมมหานคร,ปกติ,0,0,0,0,ยางระเบิด
2017-05-25,22:10:10,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถประมาท
2016-10-28,18:17:17,เฉลิมมหานคร,ปกติ,0,1,0,0,โรคประจำตัว
2017-02-23,11:40:40,เฉลิมมหานคร,ปกติ,0,0,0,0,ล้อหลุด
2017-05-10,12:07:07,เฉลิมมหานคร,ปกติ,1,0,0,0,เบรคกระทันหัน
2017-08-17,02:20:20,เฉลิมมหานคร,ปกติ,1,0,0,0,ชนท้ายรถบรรทุก
2017-02-10,03:10:10,เฉลิมมหานคร,ปกติ,1,0,0,0,มึนเมาแล้วขี่ย้อนศรทางเข้าด่าน
2017-02-03,05:02:02,เฉลิมมหานคร,ปกติ,0,0,0,0,ตัวรถสูง
